split,variant,method,alpha,condition,max_goals,matches,accuracy,log_loss,brier_score,correct_score_top1_accuracy,correct_score_top3_accuracy,correct_score_top5_accuracy,goal_difference_exact_accuracy,goal_difference_plus_minus_1_accuracy,actual_gd_3_plus_rate,predicted_gd_3_plus_probability,gd_3_plus_calibration_error,actual_favorite_win_by_3_plus_rate,predicted_favorite_win_by_3_plus_probability,favorite_win_by_3_plus_calibration_error,actual_total_goals_4_plus_rate,predicted_total_goals_4_plus_probability,total_goals_4_plus_calibration_error,blowout_bucket_weighted_abs_error,score_matrix_kl_drift,score_matrix_mad_drift
all_pooled,baseline,baseline,,none,5,1170,0.5324786324786325,0.9937522285340306,0.5906149691578761,0.12735042735042734,0.33589743589743587,0.4846153846153846,0.27692307692307694,0.6452991452991453,0.1641025641025641,0.13763115889302133,0.026471405209542775,0.14017094017094017,0.11246520094557658,0.027705739225363596,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.033242917738630036,0.0,0.0
all_pooled,gd_tail_redistribution_alpha_0.04,gd_tail_redistribution,0.04,none,5,1170,0.5324786324786325,0.9937522285340308,0.590614969157876,0.12735042735042734,0.3367521367521368,0.48547008547008547,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.14646172475574468,0.017640839346819426,0.14017094017094017,0.11876531239031032,0.02140562778062985,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.02347240903247226,0.0005969599798121745,0.0004905869923735205
all_pooled,gd_tail_redistribution_alpha_0.06,gd_tail_redistribution,0.06,none,5,1170,0.5324786324786325,0.9937522285340308,0.5906149691578759,0.1282051282051282,0.3367521367521368,0.4863247863247863,0.2760683760683761,0.6461538461538462,0.1641025641025641,0.15087700768710638,0.013225556415457723,0.14017094017094017,0.1219153681126772,0.018255572058262975,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.020072120871903142,0.0013185034281328579,0.0007358804885602806
all_pooled,gd_tail_redistribution_alpha_0.08,gd_tail_redistribution,0.08,none,5,1170,0.5324786324786325,0.9937522285340308,0.5906149691578759,0.1282051282051282,0.33760683760683763,0.488034188034188,0.2760683760683761,0.6461538461538462,0.1641025641025641,0.15529229061846805,0.008810273484096048,0.14017094017094017,0.12506542383504407,0.015105516335896102,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.01469127560613745,0.002304590990630802,0.000981173984747041
all_pooled,gd_tail_redistribution_alpha_0.10,gd_tail_redistribution,0.1,none,5,1170,0.5324786324786325,0.9937522285340306,0.590614969157876,0.12564102564102564,0.33931623931623933,0.48717948717948717,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.15970757354982973,0.0043949905527343736,0.14017094017094017,0.12821547955741097,0.0119554606135292,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.009391937314473912,0.003545468287821622,0.0012264674809338012
all_pooled,gd_tail_redistribution_alpha_0.12,gd_tail_redistribution,0.12,none,5,1170,0.5324786324786325,0.9937522285340308,0.590614969157876,0.12478632478632479,0.335042735042735,0.488034188034188,0.27521367521367524,0.6461538461538462,0.1641025641025641,0.16412285648119143,2.0292378627329022e-05,0.14017094017094017,0.13136553527977785,0.008805404891162327,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.009311370501483802,0.005033543116264297,0.0014717609771205612
all_pooled,gd_tail_redistribution_alpha_0.14,gd_tail_redistribution,0.14,none,5,1170,0.5324786324786325,0.9937522285340308,0.5906149691578761,0.12478632478632479,0.335042735042735,0.4888888888888889,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.1685381394125531,0.004435575309989004,0.14017094017094017,0.13451559100214472,0.005655349168795454,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.006294935444463398,0.006763078588241752,0.0017170544733073217
all_pooled,favorite_tail_boost_alpha_0.08,favorite_tail_boost,0.08,none,5,1170,0.5324786324786325,0.9937522285340308,0.5906149691578759,0.1282051282051282,0.33760683760683763,0.488034188034188,0.2760683760683761,0.6461538461538462,0.1641025641025641,0.15023138178248882,0.013871182320075282,0.14017094017094017,0.12506542383504407,0.015105516335896102,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.022522042491857953,0.001510854902903824,0.0007000123827481953
all_pooled,favorite_tail_boost_alpha_0.10,favorite_tail_boost,0.1,none,5,1170,0.5324786324786325,0.9937522285340306,0.590614969157876,0.12564102564102564,0.33931623931623933,0.48717948717948717,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.15338143750485572,0.01072112659770838,0.14017094017094017,0.12821547955741097,0.0119554606135292,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.016994757448498998,0.0023337331849339017,0.000875015478435244
all_pooled,favorite_tail_boost_alpha_0.12,favorite_tail_boost,0.12,none,5,1170,0.5324786324786325,0.9937522285340308,0.590614969157876,0.12478632478632479,0.335042735042735,0.488034188034188,0.27521367521367524,0.6461538461538462,0.1641025641025641,0.1565314932272226,0.007571070875341507,0.14017094017094017,0.13136553527977785,0.008805404891162327,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.013233820211849486,0.0033255313784237364,0.0010500185741222927
