variant,method,alpha,condition,max_goals,matches,accuracy,log_loss,brier_score,correct_score_top1_accuracy,correct_score_top3_accuracy,correct_score_top5_accuracy,goal_difference_exact_accuracy,goal_difference_plus_minus_1_accuracy,actual_gd_3_plus_rate,predicted_gd_3_plus_probability,gd_3_plus_calibration_error,actual_favorite_win_by_3_plus_rate,predicted_favorite_win_by_3_plus_probability,favorite_win_by_3_plus_calibration_error,actual_total_goals_4_plus_rate,predicted_total_goals_4_plus_probability,total_goals_4_plus_calibration_error,blowout_bucket_weighted_abs_error,score_matrix_kl_drift,score_matrix_mad_drift
baseline,baseline,,none,5,1170,0.5324786324786325,0.9937522285340306,0.5906149691578761,0.12735042735042734,0.33589743589743587,0.4846153846153846,0.27692307692307694,0.6452991452991453,0.1641025641025641,0.13763115889302133,0.026471405209542775,0.14017094017094017,0.11246520094557658,0.027705739225363596,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.033242917738630036,0.0,0.0
max_goals_10_only,max_goals_10_only,,none,10,1170,0.5324786324786325,0.9936871540559651,0.5904857097355143,0.12735042735042734,0.33589743589743587,0.4846153846153846,0.27692307692307694,0.6452991452991453,0.1641025641025641,0.14496017581625487,0.019142388286309237,0.14017094017094017,0.11903637392842212,0.021134566242518055,0.28205128205128205,0.2881144566344639,0.006063174583181841,0.02797670755335193,0.009173876758982175,0.00015068706199380697
gd_tail_redistribution_alpha_0.05,gd_tail_redistribution,0.05,none,5,1170,0.5324786324786325,0.9937522285340308,0.5906149691578759,0.12735042735042734,0.3384615384615385,0.48547008547008547,0.2760683760683761,0.6461538461538462,0.1641025641025641,0.14866936622142554,0.01543319788113856,0.14017094017094017,0.12034034025149376,0.019830599919446412,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.02347342843635782,0.0009239591121973967,0.0006132337404669006
gd_tail_redistribution_alpha_0.10,gd_tail_redistribution,0.1,none,5,1170,0.5324786324786325,0.9937522285340306,0.590614969157876,0.12564102564102564,0.33931623931623933,0.48717948717948717,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.15970757354982973,0.0043949905527343736,0.14017094017094017,0.12821547955741097,0.0119554606135292,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.009391937314473912,0.003545468287821622,0.0012264674809338012
gd_tail_redistribution_alpha_0.15,gd_tail_redistribution,0.15,none,5,1170,0.5324786324786325,0.9937522285340308,0.590614969157876,0.12478632478632479,0.33418803418803417,0.48717948717948717,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.17074578087823394,0.006643216775669841,0.14017094017094017,0.13609061886332816,0.004080321307612017,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.006643216775669848,0.007717051251155758,0.0018397012214007014
favorite_tail_boost_alpha_0.05,favorite_tail_boost,0.05,none,5,1170,0.5324786324786325,0.9937522285340308,0.5906149691578759,0.12735042735042734,0.3384615384615385,0.48547008547008547,0.2760683760683761,0.6461538461538462,0.1641025641025641,0.1455062981989385,0.01859626590362559,0.14017094017094017,0.12034034025149376,0.019830599919446412,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.02578993339368185,0.000601652053688038,0.0004375077392176221
favorite_tail_boost_alpha_0.10,favorite_tail_boost,0.1,none,5,1170,0.5324786324786325,0.9937522285340306,0.590614969157876,0.12564102564102564,0.33931623931623933,0.48717948717948717,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.15338143750485572,0.01072112659770838,0.14017094017094017,0.12821547955741097,0.0119554606135292,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.016994757448498998,0.0023337331849339017,0.000875015478435244
favorite_tail_boost_alpha_0.15,favorite_tail_boost,0.15,none,5,1170,0.5324786324786325,0.9937522285340308,0.590614969157876,0.12478632478632479,0.33418803418803417,0.48717948717948717,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.1612565768107729,0.0028459872917911966,0.14017094017094017,0.13609061886332816,0.004080321307612017,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.012017458271142003,0.0051242732044563906,0.001312523217652866
conditional_blowout_calibration_favorite_win_prob>=0.65,conditional_blowout_calibration,0.1,favorite_win_prob>=0.65,5,1170,0.5324786324786325,0.9937522285340306,0.590614969157876,0.12564102564102564,0.33418803418803417,0.4846153846153846,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.14021573592045353,0.023886828182110575,0.14017094017094017,0.11504977797300878,0.025121162197931396,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.029805504053077216,0.00032965458930083434,0.00014358761263512235
conditional_blowout_calibration_favorite_win_prob>=0.75,conditional_blowout_calibration,0.1,favorite_win_prob>=0.75,5,1170,0.5324786324786325,0.9937522285340306,0.5906149691578761,0.12564102564102564,0.33589743589743587,0.4846153846153846,0.27521367521367524,0.6452991452991453,0.1641025641025641,0.13848753848206435,0.02561502562049975,0.14017094017094017,0.11332158053461959,0.026849359636320583,0.28205128205128205,0.28154447444696573,0.0005068076043163172,0.034099297327673056,0.00010230908913959238,4.757664383572355e-05
